,SMILES,CANONICAL_SMILES,Energy
0,c1ccc2c(nc(-c3ccc(OC)cc3)cc2C(N(C)CC(Nc2c(cccc2)CC)=O)=O)c1,CCc1ccccc1NC(=O)CN(C)C(=O)c1cc(-c2ccc(OC)cc2)nc2ccccc12,-9.0039623255
1,c1(c(O)cccc1)/C=N\NC(=O)c1cc(nc2c1cccc2)CC,CCc1cc(C(=O)N/N=C\c2ccccc2O)c2ccccc2n1,-1.7209623729
2,c12c(cccc2OC)c(ccn1)C(N1CCc2c(n(C)nc2C1C)-c1cc(F)c(c(F)c1)F)=O,COc1cccc2c(C(=O)N3CCc4c(nn(C)c4-c4cc(F)c(F)c(F)c4)C3C)ccnc12,-13.1789076535
3,c1(Cl)cc(-c2cc(C(Nc3c(C#N)c4CCC(Cc4s3)C)=O)c3ccccc3n2)ccc1Cl,CC1CCc2c(sc(NC(=O)c3cc(-c4ccc(Cl)c(Cl)c4)nc4ccccc34)c2C#N)C1,-12.515510338
4,*.*.c1c2c(nccc2C([N]C2CCC(C2OCC)[O])=O)ccc1,*.*.CCOC1C([O])CCC1[N]C(=O)c1ccnc2ccccc12,-0.37170615614
5,c1cccc(c1)-c1c(CN2Cc3nnc(n3CC2)C(F)(F)F)c(C(NN(c2ccccc2)C(OC)=O)=O)c2ccccc2n1,COC(=O)N(NC(=O)c1c(CN2CCn3c(nnc3C(F)(F)F)C2)c(-c2ccccc2)nc2ccccc12)c1ccccc1,-11.950022083
6,c1(Br)cc(/C=N/NC(=O)c2c3c(cccc3)nc(c2)-c2ccccc2)ccc1OCc1ccccc1F,O=C(N/N=C/c1ccc(OCc2ccccc2F)c(Br)c1)c1cc(-c2ccccc2)nc2ccccc12,-1.3159699576
7,n1c(cc(C(=O)NCCOC)c2c1cccc2)C1OCCN(C1)CCc1ccccc1,COCCNC(=O)c1cc(C2CN(CCc3ccccc3)CCO2)nc2ccccc12,-7.85897622
8,c1(-c2ccccc2)nc2ccccc2c(c1)C(NNS(=O)(=O)c1ccc(cc1)C#N)=O,N#Cc1ccc(S(=O)(=O)NNC(=O)c2cc(-c3ccccc3)nc3ccccc23)cc1,-5.49437567
9,o1cccc1C(N(CC)CC)CNC(c1c2c(nc(C)c1)cc(cc2)F)=O,CCN(CC)C(CNC(=O)c1cc(C)nc2cc(F)ccc12)c1ccco1,-9.653976344
10,C1CN(CCN1c1ccc(F)cc1OC)c1nc2ccccc2c(c1)C(NC1CC1)=O,COc1cc(F)ccc1N1CCN(c2cc(C(=O)NC3CC3)c3ccccc3n2)CC1,-10.774862565000001
