SMILES,Has_Scaffold
Cc1cc2c(C(=O)NCC(=O)Nc3c(C)ccc(Br)c3C)cc(-c3cc(C)c(Br)c(F)c3C)nc2c(Cl)c1Cl,True
CCc1ccc(Cl)c(C)c1NC(=O)NNC(=O)c1cc(-c2cc(C)c(Br)c(C)c2C)nc2cc(F)c(Cl)cc12,True
CCOC(=O)Cc1cc(F)cc(C)c1NC(=O)c1cc(-c2cc(C)c(Br)c(F)c2C)nc2cc(Br)c(C)cc12,True
Cc1cc(C)c(CN(C)C(=O)c2cc(-c3cc(C)c(Br)c(F)c3C)nc3cc(F)c(Br)cc23)c(C(C)C)c1,True
COc1ccc(F)c(C)c1CNC(=O)c1cc(-c2cc(C)c(Br)c(Cl)c2C)nc2ccc(Br)cc12,True
COc1cc(F)c(Cl)c(I)c1NC(=O)c1cc(-c2cc(C)c(Br)c(C)c2C)nc2c(Cl)c(Br)c(Br)cc12,True
CCn1cc(Br)c(C)c1CNC(=O)c1cc(-c2ccccc2C)nc2c(F)c(F)c(F)cc12,True
Cc1c(NC(=O)c2cc(-c3ccc(F)c(F)c3F)nc3cc(F)c(F)cc23)ccc(Br)c1F,True
COc1c(C)cc(-c2cc(C(=O)Nc3c(C)cc(C)cc3C)c3cc(Br)c(F)cc3n2)c(C)c1OC,True
O=C(Nc1ccc(Cl)c(Cl)c1Cl)c1cc(-c2ccc(Cl)c(O)c2F)nc2cc(F)c(Cl)cc12,True
Cc1ccc(Br)cc1CC(=O)NNC(=O)c1cc(-c2cc(Br)c(F)c(Cl)c2Cl)nc2ccc(F)cc12,True
CCC(C)c1ccc(C)c(C)c1NC(=O)c1cc(-c2cc(Br)c(Br)c(C)c2C)nc2c(Cl)c(F)c(I)cc12,True
COc1ccc(F)c(C)c1NC(=O)c1cc(-c2cc(Br)c(F)c(Br)c2C)nc2ccc(Br)cc12,True
CCOC(=O)c1cccc(F)c1NC(=O)c1cc(-c2ccc(F)cc2C)nc2c(I)c(F)c(Cl)c(F)c12,True
COc1cccc(C)c1CNC(=O)c1cc(-c2cc(C)c(Br)cc2C)nc2c(Cl)c(Cl)c(C)cc12,True
CC(NC(=O)c1cc(-c2ccc(Br)cc2)nc2c(Br)c(Br)c(Br)cc12)c1ccc(F)c(F)c1F,True
Cc1ccc(C)c(NC(=O)c2cc(-c3cc(C)c(F)c(F)c3C)nc3cc(F)c(Br)cc23)c1C,True
Cc1cc(-c2cc(C(=O)Nc3c(C)cc(F)c(F)c3C)c3c(C)c(Cl)c(Br)cc3n2)c(C)c(C)c1Br,True
Cc1cc(C)c(NC(=O)NNC(=O)c2cc(-c3cc(C)c(C)c(C)c3C)nc3c(Cl)c(F)c(Cl)c(Br)c23)c(C)c1,True
Cc1c(Br)ccc2c(C(=O)N3CCC(CC#N)C3)cc(-c3ccc(Br)cc3Cl)nc12,True
