Epoch,Batch,Loss,Recon,KLD
1,0,3.7925,3.7835,1.7972
1,1,3.5337,3.5307,0.6070
1,2,3.2949,3.2917,0.6403
1,3,3.0647,3.0608,0.7776
1,4,2.8601,2.8559,0.8307
1,5,2.6764,2.6722,0.8402
1,6,2.4738,2.4698,0.8015
1,7,2.3812,2.3767,0.8981
1,8,2.2583,2.2534,0.9742
1,9,2.1644,2.1594,0.9971
1,10,2.1254,2.1209,0.9053
1,11,2.0606,2.0569,0.7461
1,12,2.0211,2.0179,0.6501
1,13,1.9847,1.9819,0.5606
1,14,1.9712,1.9687,0.5183
1,15,1.9071,1.9047,0.4668
1,16,1.8874,1.8851,0.4599
1,17,1.8313,1.8291,0.4298
1,18,1.8193,1.8176,0.3301
1,19,1.7942,1.7928,0.2796
1,20,1.7895,1.7882,0.2489
1,21,1.7488,1.7474,0.2653
1,22,1.7142,1.7131,0.2243
1,23,1.7314,1.7305,0.1855
1,24,1.7053,1.7043,0.1946
1,25,1.6773,1.6764,0.1746
1,26,1.6711,1.6701,0.1908
1,27,1.6472,1.6465,0.1337
1,28,1.6402,1.6395,0.1418
1,29,1.6399,1.6388,0.2045
1,30,1.5685,1.5675,0.1899
1,31,1.6317,1.6307,0.2096
1,32,1.5755,1.5747,0.1485
1,33,1.5909,1.5900,0.1858
1,34,1.5463,1.5453,0.1939
1,35,1.5410,1.5395,0.2897
1,36,1.5511,1.5496,0.3010
1,37,1.4973,1.4946,0.5316
1,38,1.5110,1.5089,0.4320
1,39,1.4972,1.4956,0.3128
1,40,1.5034,1.5026,0.1594
1,41,1.5051,1.5039,0.2367
1,42,1.4307,1.4290,0.3349
1,43,1.4705,1.4686,0.3752
1,44,1.4745,1.4729,0.3319
1,45,1.4276,1.4256,0.3861
1,46,1.4633,1.4627,0.1093
1,47,1.4328,1.4311,0.3315
1,48,1.3907,1.3900,0.1340
1,49,1.3556,1.3540,0.3072
1,50,1.3402,1.3381,0.4210
1,51,1.3844,1.3824,0.3998
1,52,1.3492,1.3473,0.3834
1,53,1.3343,1.3333,0.2163
1,54,1.3230,1.3221,0.1888
1,55,1.3708,1.3698,0.1840
1,56,1.3376,1.3362,0.2835
1,57,1.3218,1.3203,0.2947
1,58,1.3321,1.3307,0.2774
1,59,1.3049,1.3039,0.2002
1,60,1.3007,1.2997,0.2002
1,61,1.2976,1.2965,0.2253
1,62,1.2789,1.2781,0.1663
1,63,1.2876,1.2865,0.2221
1,64,1.2682,1.2666,0.3156
1,65,1.2663,1.2647,0.3108
1,66,1.2264,1.2248,0.3283
1,67,1.2400,1.2382,0.3563
1,68,1.2208,1.2193,0.2849
1,69,1.2053,1.2041,0.2316
1,70,1.2252,1.2244,0.1600
1,71,1.2225,1.2215,0.1925
1,72,1.1866,1.1852,0.2698
1,73,1.2088,1.2079,0.1863
1,74,1.1960,1.1946,0.2744
1,75,1.2038,1.2025,0.2571
1,76,1.2032,1.2018,0.2712
1,77,1.1597,1.1587,0.2091
1,78,1.1687,1.1677,0.1857
1,79,1.1461,1.1452,0.1822
1,80,1.1355,1.1338,0.3310
1,81,1.1515,1.1505,0.2002
1,82,1.1083,1.1074,0.1709
1,83,1.1429,1.1418,0.2084
1,84,1.1281,1.1269,0.2476
1,85,1.1226,1.1217,0.1672
1,86,1.1209,1.1200,0.1806
1,87,1.1263,1.1253,0.1976
1,88,1.1107,1.1099,0.1665
1,89,1.1277,1.1268,0.1769
1,90,1.1116,1.1108,0.1645
1,91,1.1008,1.0999,0.1741
1,92,1.0888,1.0883,0.1079
1,93,1.1328,1.1322,0.1383
1,94,1.0921,1.0915,0.1128
1,95,1.0895,1.0890,0.0923
1,96,1.0605,1.0600,0.0919
1,97,1.0483,1.0479,0.0757
1,98,1.0468,1.0462,0.1358
1,99,1.0524,1.0518,0.1235
1,100,1.0899,1.0891,0.1589
1,101,1.0908,1.0902,0.1188
1,102,1.0986,1.0981,0.1010
1,103,1.0239,1.0235,0.0804
1,104,1.0504,1.0500,0.0839
1,105,1.0389,1.0385,0.0747
1,106,1.0397,1.0393,0.0898
1,107,1.0135,1.0130,0.0891
1,108,1.0429,1.0425,0.0745
1,109,1.0457,1.0453,0.0672
1,110,1.0321,1.0316,0.0969
1,111,1.0304,1.0300,0.0906
1,112,1.0270,1.0267,0.0628
1,113,0.9799,0.9796,0.0574
1,114,1.0051,1.0048,0.0643
1,115,0.9955,0.9951,0.0748
1,116,1.0002,0.9997,0.0956
1,117,0.9947,0.9940,0.1305
1,118,1.0035,1.0030,0.0905
1,119,0.9818,0.9812,0.1193
1,120,0.9813,0.9809,0.0798
1,121,0.9800,0.9797,0.0577
1,122,0.9591,0.9586,0.0995
1,123,0.9770,0.9765,0.0994
1,124,0.9718,0.9713,0.0948
1,125,0.9286,0.9281,0.0958
1,126,0.9664,0.9659,0.0838
1,127,0.9600,0.9597,0.0451
1,128,0.9373,0.9370,0.0492
1,129,0.9689,0.9686,0.0590
1,130,0.9419,0.9416,0.0558
1,131,0.9153,0.9151,0.0392
1,132,0.9600,0.9598,0.0369
1,133,0.9026,0.9024,0.0430
1,134,0.9020,0.9017,0.0556
1,135,0.9420,0.9417,0.0611
1,136,0.9148,0.9146,0.0426
1,137,0.9032,0.9029,0.0602
1,138,0.9235,0.9232,0.0587
1,139,0.9255,0.9253,0.0411
1,140,0.9509,0.9505,0.0723
1,141,0.9052,0.9050,0.0555
1,142,0.9343,0.9340,0.0513
1,143,0.9181,0.9179,0.0438
1,144,0.9208,0.9205,0.0732
1,145,0.8885,0.8883,0.0297
1,146,0.9071,0.9069,0.0515
1,147,0.9002,0.8999,0.0570
1,148,0.9115,0.9112,0.0582
1,149,0.8741,0.8739,0.0474
1,150,0.8808,0.8805,0.0548
1,151,0.9039,0.9036,0.0506
1,152,0.8682,0.8678,0.0627
1,153,0.8971,0.8968,0.0595
1,154,0.8798,0.8795,0.0727
1,155,0.8508,0.8504,0.0753
1,156,0.8475,0.8474,0.0356
1,157,0.8201,0.8200,0.0287
1,158,0.8390,0.8387,0.0567
1,159,0.8459,0.8455,0.0682
1,160,0.8697,0.8694,0.0605
1,161,0.8367,0.8365,0.0312
1,162,0.8733,0.8729,0.0751
1,163,0.8547,0.8543,0.0873
1,164,0.8443,0.8438,0.0943
1,165,0.8210,0.8208,0.0416
1,166,0.8571,0.8569,0.0343
1,167,0.8397,0.8393,0.0784
1,168,0.8293,0.8291,0.0313
1,169,0.8392,0.8390,0.0440
1,170,0.8374,0.8371,0.0631
1,171,0.7904,0.7902,0.0441
1,172,0.7984,0.7983,0.0311
1,173,0.8325,0.8321,0.0728
1,174,0.8077,0.8075,0.0328
1,175,0.8112,0.8110,0.0448
1,176,0.8038,0.8036,0.0430
1,177,0.8464,0.8462,0.0412
1,178,0.8091,0.8088,0.0479
1,179,0.8499,0.8495,0.0737
1,180,0.8170,0.8168,0.0312
1,181,0.7867,0.7866,0.0244
1,182,0.7852,0.7850,0.0343
1,183,0.7937,0.7935,0.0480
1,184,0.7878,0.7875,0.0675
1,185,0.8205,0.8203,0.0420
1,186,0.7798,0.7796,0.0433
1,187,0.7978,0.7976,0.0293
1,188,0.7843,0.7840,0.0666
1,189,0.7870,0.7866,0.0750
1,190,0.8005,0.8002,0.0526
1,191,0.7637,0.7634,0.0574
1,192,0.7870,0.7867,0.0544
1,193,0.7602,0.7599,0.0579
1,194,0.8169,0.8164,0.1014
1,195,0.7892,0.7890,0.0422
1,196,0.7568,0.7565,0.0509
1,197,0.7396,0.7393,0.0533
1,198,0.7577,0.7573,0.0681
1,199,0.7259,0.7257,0.0368
1,200,0.7624,0.7621,0.0646
1,201,0.7344,0.7341,0.0637
1,202,0.7835,0.7831,0.0764
1,203,0.7458,0.7455,0.0669
1,204,0.7791,0.7789,0.0462
1,205,0.7361,0.7359,0.0373
1,206,0.7511,0.7506,0.0919
1,207,0.7560,0.7557,0.0464
1,208,0.7653,0.7650,0.0618
1,209,0.7110,0.7106,0.0765
1,210,0.7439,0.7436,0.0622
1,211,0.7527,0.7524,0.0591
1,212,0.7362,0.7357,0.0918
1,213,0.7159,0.7156,0.0494
1,214,0.7403,0.7401,0.0425
1,215,0.7229,0.7227,0.0526
1,216,0.7061,0.7060,0.0347
1,217,0.7377,0.7375,0.0427
1,218,0.7139,0.7137,0.0366
1,219,0.7275,0.7272,0.0694
1,220,0.7427,0.7423,0.0723
1,221,0.7574,0.7572,0.0425
1,222,0.7458,0.7456,0.0380
1,223,0.7323,0.7321,0.0497
1,224,0.7633,0.7630,0.0518
1,225,0.7358,0.7357,0.0351
1,226,0.7354,0.7352,0.0526
1,227,0.7397,0.7395,0.0398
1,228,0.7478,0.7475,0.0611
1,229,0.7207,0.7204,0.0593
1,230,0.7286,0.7283,0.0576
1,231,0.6963,0.6961,0.0417
1,232,0.7307,0.7304,0.0493
1,233,0.7367,0.7365,0.0462
1,234,0.7454,0.7452,0.0471
1,235,0.6937,0.6935,0.0408
